Material_Type,Product_Type,Industry,Strength (1-10),Weight Capacity (kg),Biodegradability Score (1-10),Recyclability (%),Cost (USD),CO2 Emission (kg CO2/kg)
Recycled Plastic,Blister Pack,Retail,9,20.22,1,75.5,2.49,2.9
Recycled Plastic,Garbage Bag,Household,10,29.95,1,77.12,1.69,2.03
Steel,Chemical Storage Bottle,Chemicals,3,2.95,1,70.2,8.89,7.1
Bioplastic (PLA),Soap Bar Wrapper,Personal Care,9,0.12,10,72.1,3.46,0.68
Mushroom Packaging,Food Container,Food & Beverage,5,28.39,9,63.43,3.16,0.91
Bamboo,Cosmetic Packaging Box,Cosmetics,10,21.53,10,64.81,5.32,0.67
Cardboard,Paper Carry Bag,Retail,10,5.42,8,79.3,1.48,1.93
PP Plastic,Lipstick Tube,Cosmetics,8,4.82,3,59.8,3.48,3.7
PET Plastic,Water Bottle,Food & Beverage,5,1.22,2,79.47,2.53,3.28
Glass,Body Lotion Bottle,Personal Care,5,0.43,1,80.72,5.61,5.17
Bioplastic (PLA),Bubble Wrap,Logistics,4,5.92,8,75.98,2.58,1.01
Bioplastic (PLA),Body Lotion Bottle,Personal Care,3,0.59,8,63.19,3.72,1.01
Glass,Yogurt Cup,Food & Beverage,5,0.4,2,72.93,6.81,4.35
Cardboard,Butter Tub,Food & Beverage,10,0.71,10,71.47,2.91,0.82
Bioplastic (PLA),Body Lotion Bottle,Personal Care,4,0.75,9,83.76,3.92,0.42
Glass,Beverage Can,Food & Beverage,4,3.33,1,71.54,4.08,5.31
PET Plastic,Honey Jar,Food & Beverage,8,1.08,2,57.81,3.08,5.24
Bioplastic (PLA),Toothpaste Tube,Personal Care,3,0.1,8,76.59,2.82,0.78
PP Plastic,Food Container,Food & Beverage,7,6,3,58.45,1.75,3.48
Corrugated Cardboard,Medical Device Box,Healthcare,10,1.93,7,81.85,1.92,1.14
Recycled Plastic,Beverage Can,Food & Beverage,3,4.83,1,75.34,2.86,1.84
Bagasse Fiber,Juice Carton,Food & Beverage,4,8.32,10,78.83,3.09,0.58
HDPE Plastic,Chemical Storage Bottle,Chemicals,6,2.22,3,57.96,2.5,5.23
PP Plastic,Dishwash Liquid Bottle,Household,4,0.47,1,66.6,1.71,4.16
Molded Pulp,Seedling Tray,Agriculture,4,26.3,10,77.37,2.46,0.81
Corrugated Cardboard,Heavy Crate,Logistics,6,86.82,9,86.15,2.6,1.7
Bagasse Fiber,Snack Packaging,Food & Beverage,6,1.87,8,79.4,3.01,0.64
Bioplastic (PLA),Bubble Wrap,Logistics,7,8.39,9,82.43,3.58,1.28
PET Plastic,Body Lotion Bottle,Personal Care,8,0.63,1,63.21,3.3,4.75
Aluminum,Toothpaste Tube,Personal Care,10,0.25,1,93.21,3.19,1.99
HDPE Plastic,Conditioner Bottle,Personal Care,4,0.75,2,60.89,3.48,3.84
Cardboard,Deodorant Stick,Personal Care,10,0.06,7,78.16,1.23,1.51
Recycled Plastic,Blister Pack,Retail,4,43.31,2,86.42,1.68,3.43
Bagasse Fiber,Pizza Box,Food & Beverage,5,15.58,8,72.25,2.95,1.38
Cardboard,Cosmetic Packaging Box,Cosmetics,3,16.34,8,70.75,2.17,0.84
Cardboard,Deodorant Stick,Personal Care,7,0.06,8,72.08,2.63,0.56
Corrugated Cardboard,Pizza Box,Food & Beverage,4,11.54,8,79.94,2.24,1.8
Recycled Plastic,Chocolate Wrapper,Food & Beverage,4,0.29,3,85.63,1.78,3.03
Bioplastic (PLA),Chocolate Wrapper,Food & Beverage,4,0.21,9,72.45,3.72,0.4
Bagasse Fiber,Food Container,Food & Beverage,8,10.13,8,81.65,3.11,0.65
HDPE Plastic,Cooking Oil Bottle,Food & Beverage,7,1.19,1,77.26,2.97,2.82
Glass,Spray Bottle,Cosmetics,8,2.19,1,71.19,4.54,3.47
Kraft Paper,Cosmetic Packaging Box,Cosmetics,4,19.97,10,75.74,2,1.18
PET Plastic,Conditioner Bottle,Personal Care,10,0.65,3,59.33,2.98,4.95
Glass,Pharma Vial,Pharmaceuticals,4,2.83,2,87.88,3.77,4.9
Bioplastic (PLA),Conditioner Bottle,Personal Care,8,0.53,8,82.92,3.44,0.78
PET Plastic,Cooking Oil Bottle,Food & Beverage,3,4.87,3,57.99,2.94,4.21
Cardboard,Instant Noodle Cup,Food & Beverage,9,0.12,9,77.14,2.09,1
PP Plastic,Yogurt Cup,Food & Beverage,7,0.39,2,59.94,2.38,4.05
PET Plastic,Hair Oil Bottle,Personal Care,9,0.23,2,79.38,2.09,5.11
Tempered Glass,Syringe Packaging,Pharmaceuticals,4,26.67,2,70.21,4.14,5.67
Steel,Heavy Crate,Logistics,5,97.19,1,83.4,7.13,7.95
Bioplastic (PLA),Ice Cream Tub,Food & Beverage,3,0.92,10,77.48,3.58,0.45
Steel,Heavy Crate,Logistics,3,45.67,1,84.16,8.7,6.04
Recycled Plastic,Syringe Packaging,Pharmaceuticals,10,9.34,2,89.12,2.18,2
PP Plastic,Pet Food Bag,Pet Care,7,9.17,2,74.15,1.84,3.17
Bioplastic (PLA),Sterile Wrap,Healthcare,6,7.04,10,80.82,3.89,1.46
Corrugated Cardboard,Heavy Crate,Logistics,7,62.73,8,89.5,2.43,1.07
PP Plastic,Pill Blister Pack,Pharmaceuticals,9,42.6,2,51.87,1.68,3.93
Corrugated Cardboard,Component Tray,Electronics,4,18.27,10,84.32,2.47,1.9
Molded Pulp,Power Bank Box,Electronics,4,0.45,10,72.81,1.96,1.21
Aluminum,Cream Jar,Cosmetics,10,3.99,3,89.22,2.74,1.94
Corrugated Cardboard,Cereal Box,Food & Beverage,4,0.51,10,78.54,1.58,1.22
Recycled Plastic,Industrial Drum,Chemicals,3,10.55,3,80.06,1.58,1.51
Jute,Shopping Bag,Retail,3,7.83,10,74.08,3.52,1.05
Molded Pulp,Charger Adapter Box,Electronics,5,0.47,10,84.74,3.15,0.63
Wood,Smartwatch Box,Electronics,3,0.35,7,57.89,5.46,2.4
Recycled Plastic,Sugar Pouch,Food & Beverage,7,2.13,2,79.96,1.85,2.14
Molded Pulp,Component Tray,Electronics,6,17.77,9,84.73,1.53,0.96
Cardboard,Medical Device Box,Healthcare,5,28.53,10,77.88,2.11,0.82
Cardboard,Phone Box,Electronics,7,29.79,8,84.65,1.5,1.05
PET Plastic,Face Wash Tube,Personal Care,9,0.3,3,72.53,2.68,4.81
Aluminum,Cooking Oil Bottle,Food & Beverage,8,3.31,1,93.99,1.65,1.8
Bioplastic (PLA),Face Wash Tube,Personal Care,8,0.32,8,82.27,2.51,1.42
Cardboard,Juice Carton,Food & Beverage,9,20.53,7,70.38,2.47,0.81
Recycled Plastic,Power Bank Box,Electronics,7,0.5,3,79.13,2.82,2.27
Recycled Plastic,Bread Bag,Food & Beverage,5,0.49,2,72.72,1.58,2.16
Foam,Laptop Packaging Box,Electronics,9,11.79,10,69.84,2.79,0.81
Kraft Paper,Shipping Box,Logistics,5,21.39,7,88.36,1.94,1.11
Wood,Gift Box,Retail,9,19.14,6,61.72,4.6,2.34
Jute,Produce Bag,Agriculture,5,8.09,9,65.68,4.09,0.89
Bagasse Fiber,Milk Carton,Food & Beverage,6,1.66,9,82.52,3.27,0.52
PET Plastic,Perfume Bottle,Cosmetics,10,2.8,3,79.07,2.89,4.66
Glass,Honey Jar,Food & Beverage,9,0.9,2,71.74,5.37,4.8
Recycled Plastic,Razor Packaging,Personal Care,8,0.08,2,73.67,2.36,3.03
Bioplastic (PLA),Pill Blister Pack,Pharmaceuticals,5,0.78,9,60.74,2.33,1.05
Aluminum,Spray Bottle,Cosmetics,8,4.14,2,85.88,3.19,2.23
Aluminum,Chemical Storage Bottle,Chemicals,9,4.62,1,88.37,2.48,2.21
Bioplastic (PLA),Food Container,Food & Beverage,7,21.42,9,82.4,3.64,0.6
Kraft Paper,Tissue Box,Household,5,0.47,10,81.63,2.58,1.33
Jute,Shopping Bag,Retail,3,1.01,10,72.09,3.98,1.5
Recycled Plastic,Shampoo Bottle,Personal Care,10,0.49,2,85.2,2.06,2.94
Aluminum,Deodorant Stick,Personal Care,8,0.12,3,85.23,2.88,1.79
Cardboard,Charger Adapter Box,Electronics,4,0.41,9,70.7,2.29,0.59
Cardboard,Juice Carton,Food & Beverage,8,7.75,7,71.18,2.38,1.59
Recycled Plastic,Blister Pack,Retail,5,37.47,1,72.13,2.49,1.95
Bioplastic (PLA),Sugar Pouch,Food & Beverage,5,1.8,10,69.75,2.24,1.24
Recycled Plastic,Spray Bottle,Cosmetics,9,0.26,2,71.59,2.17,3.4
Bioplastic (PLA),Pallet Wrap,Logistics,4,7.84,8,76.64,2.11,1.09
PP Plastic,Food Container,Food & Beverage,8,7.2,1,53.79,2.45,4
Recycled Plastic,Phone Box,Electronics,5,10.58,2,84.54,1.61,1.61
Corrugated Cardboard,Medical Device Box,Healthcare,5,14.23,10,72.45,1.67,1.76
Bioplastic (PLA),Conditioner Bottle,Personal Care,10,0.51,9,77.85,3.65,1.26
Cardboard,Blister Pack,Retail,6,5.64,9,86.9,1.57,1.63
PET Plastic,Sauce Bottle,Food & Beverage,10,0.96,1,55.39,3.17,3.71
Wood,Shipping Box,Logistics,7,2.88,8,53.22,5.22,2.72
Bagasse Fiber,Food Container,Food & Beverage,7,41.45,9,72.84,2.89,0.61
PP Plastic,Industrial Drum,Chemicals,4,94.36,2,74.98,1.67,3.92
PP Plastic,Bread Bag,Food & Beverage,6,0.69,3,70.54,2.84,3.73
Bioplastic (PLA),Body Lotion Bottle,Personal Care,8,0.78,10,77.89,3.58,1.14
Bioplastic (PLA),Conditioner Bottle,Personal Care,7,0.49,9,75.07,3.65,1.48
Recycled Plastic,Deodorant Stick,Personal Care,3,0.08,1,75.79,1.51,2.16
Cardboard,Yogurt Cup,Food & Beverage,6,0.33,10,76.47,2.83,1.48
Kraft Paper,Tea Pouch,Food & Beverage,4,0.18,10,78.01,1.28,0.67
Cardboard,Gift Box,Retail,6,8.2,9,89.96,2.55,1.82
PP Plastic,Syringe Packaging,Pharmaceuticals,5,11.19,1,51.74,2.1,3.03
Recycled Plastic,Sugar Pouch,Food & Beverage,9,4.24,1,79.22,1.39,3.33
Bagasse Fiber,Shopping Bag,Retail,7,7.58,8,78.54,2.48,1.3
PP Plastic,Food Container,Food & Beverage,9,10.91,2,69.79,2.7,3.78
Recycled Plastic,Conditioner Bottle,Personal Care,7,0.53,3,76.17,2.89,3.43
Aluminum,Perfume Bottle,Cosmetics,7,2.85,1,94.03,2.05,1.92
PP Plastic,Instant Noodle Cup,Food & Beverage,10,0.47,1,74.41,2.14,3.83
Recycled Plastic,Tissue Box,Household,6,0.45,3,75.46,2.73,3.13
Recycled Plastic,Cooking Oil Bottle,Food & Beverage,8,3.02,3,73.92,1.5,1.94
PP Plastic,Chemical Storage Bottle,Chemicals,4,3.69,3,50.37,1.56,3.05
Recycled Plastic,Dishwash Liquid Bottle,Household,5,0.84,1,83.16,2.18,1.8
Recycled Plastic,Water Bottle,Food & Beverage,10,2.98,2,84.51,1.97,3.25
Recycled Plastic,Beverage Can,Food & Beverage,9,2.37,2,72.82,1,3.12
PP Plastic,Fertilizer Bag,Agriculture,10,2.08,1,62.07,2.31,4.5
PP Plastic,Food Container,Food & Beverage,10,23.14,2,51.54,3.13,4.85
PP Plastic,Instant Noodle Cup,Food & Beverage,6,0.38,3,67.25,2.76,3.81
Glass,Beverage Can,Food & Beverage,7,1.86,2,77.2,3.74,4.96
Bagasse Fiber,Snack Packaging,Food & Beverage,5,8.24,10,72.13,2.05,1.28
Recycled Plastic,Chocolate Wrapper,Food & Beverage,6,0.14,3,80.95,2.12,3.28
PP Plastic,Fertilizer Bag,Agriculture,6,5.62,1,58.27,1.5,3.97
PP Plastic,Lipstick Tube,Cosmetics,7,1.48,3,62.85,1.52,4.18
Aluminum,Pill Blister Pack,Pharmaceuticals,10,40.96,1,85.8,2.92,1.96
Molded Pulp,Instant Noodle Cup,Food & Beverage,5,0.29,10,67.23,2.31,1.34
Kraft Paper,Shipping Box,Logistics,3,11.96,9,87.9,2.96,0.72
Molded Pulp,Instant Noodle Cup,Food & Beverage,6,0.21,8,77.42,2.74,1.21
Cardboard,Instant Noodle Cup,Food & Beverage,5,0.24,7,82.07,2.63,1.24
Aluminum,Face Wash Tube,Personal Care,7,0.2,2,88.92,3.31,2.06
Mushroom Packaging,Food Container,Food & Beverage,7,37.21,10,73.99,3.37,1.09
Bamboo,Cosmetic Packaging Box,Cosmetics,9,25.13,10,64.97,4.05,1.08
PET Plastic,Pill Blister Pack,Pharmaceuticals,4,39.26,1,54.98,1.91,3.56
Bioplastic (PLA),Book Packaging Wrap,Retail,3,2.36,9,67.1,2.99,1.31
Kraft Paper,Bread Bag,Food & Beverage,5,0.52,10,88.25,1.82,1.91
PP Plastic,Yogurt Cup,Food & Beverage,7,0.17,3,72.73,2.01,4.04
PP Plastic,Pet Food Bag,Pet Care,9,8.49,3,74.64,2.59,4.78
Bioplastic (PLA),Cereal Box,Food & Beverage,7,0.59,10,80.79,2.42,1.07
PET Plastic,Egg Carton,Food & Beverage,9,1.42,1,73.91,3.05,3.53
PP Plastic,Bread Bag,Food & Beverage,8,0.3,2,60.9,3.47,2.64
Kraft Paper,Smartwatch Box,Electronics,6,0.32,8,82.19,1.83,0.7
PP Plastic,Pharma Vial,Pharmaceuticals,7,3.4,1,74.51,2.61,4.85
Bioplastic (PLA),Ice Cream Tub,Food & Beverage,5,0.93,9,82.46,3.49,0.71
Recycled Plastic,Floor Cleaner Bottle,Household,10,2.01,3,87.77,1.21,1.55
Recycled Plastic,Ice Cream Tub,Food & Beverage,7,0.86,1,70.06,1.62,3.23
Bamboo,Cosmetic Packaging Box,Cosmetics,7,5.01,7,64.89,3.4,1.46
Bioplastic (PLA),Toilet Cleaner Bottle,Household,7,1.05,8,73.45,3.25,0.84
Bagasse Fiber,Seedling Tray,Agriculture,5,7.26,10,76.03,2.53,1.44
Aluminum,Heavy Crate,Logistics,7,63.13,2,90.93,1.78,1.97
Tempered Glass,Syringe Packaging,Pharmaceuticals,4,8.46,2,74.52,6.73,4.59
Bagasse Fiber,Egg Carton,Food & Beverage,8,1.78,9,66.89,2.56,0.72
Bioplastic (PLA),Pallet Wrap,Logistics,4,2.88,8,74.7,2.58,0.58
Corrugated Cardboard,Component Tray,Electronics,4,17.16,7,71.47,2.63,1.37
Kraft Paper,Sterile Wrap,Healthcare,9,1.4,8,73.73,2.57,1.34
Bioplastic (PLA),Bread Bag,Food & Beverage,3,1.03,8,74.89,3.57,1.22
Aluminum,Shampoo Bottle,Personal Care,9,0.41,2,93.58,1.53,2.09
Molded Pulp,Ice Cream Tub,Food & Beverage,6,0.32,10,65.21,1.94,0.82
Recycled Plastic,Laundry Detergent Box,Household,7,4.25,2,81.45,1.64,2.91
Kraft Paper,Cereal Box,Food & Beverage,8,0.96,10,89.42,2.65,1.96
PP Plastic,Snack Packaging,Food & Beverage,10,5.55,3,69.75,2.78,4.63
Kraft Paper,Earphone Box,Electronics,7,0.2,7,70.02,1.98,1.23
Corrugated Cardboard,Shipping Box,Logistics,9,21.5,10,77.03,2.78,0.62
Recycled Plastic,Produce Bag,Agriculture,7,8.9,3,83.69,1.95,2.36
Molded Pulp,Earphone Box,Electronics,6,0.1,9,78.43,2.16,1.43
Bioplastic (PLA),Sterile Wrap,Healthcare,9,1.88,10,62.92,3.05,0.33
Molded Pulp,Ice Cream Tub,Food & Beverage,3,0.66,8,81.33,3.49,1.09
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,6,0.32,9,73.48,2.86,0.97
Recycled Plastic,Butter Tub,Food & Beverage,6,0.69,2,72.33,1.74,3.11
Bioplastic (PLA),Seedling Tray,Agriculture,8,16.03,10,74.29,2.16,1.3
Bagasse Fiber,Wet Wipes Pack,Household,4,0.22,9,81.14,2.73,0.94
HDPE Plastic,Conditioner Bottle,Personal Care,4,0.64,1,68.25,2.51,2.98
Tempered Glass,Syringe Packaging,Pharmaceuticals,3,3.61,1,91.92,4.36,4.63
PP Plastic,Pallet Wrap,Logistics,7,0.19,2,73.75,3.22,4.48
Recycled Plastic,Body Lotion Bottle,Personal Care,7,0.75,1,73.37,2.16,3.45
Recycled Plastic,Milk Carton,Food & Beverage,4,1.76,1,79.76,1.43,1.73
Cardboard,Tissue Box,Household,5,0.13,9,70.28,2.32,0.98
PP Plastic,Bubble Wrap,Logistics,7,6.1,1,74.16,3.28,4.49
Corrugated Cardboard,Medical Device Box,Healthcare,5,10.24,10,71.75,2.92,1.63
Bioplastic (PLA),Tea Pouch,Food & Beverage,9,0.5,9,73.03,3.24,0.41
Molded Pulp,Phone Box,Electronics,5,20.34,8,84.6,1.79,0.84
Aluminum,Deodorant Stick,Personal Care,7,0.07,3,86.23,3.36,1.95
Recycled Plastic,Chocolate Wrapper,Food & Beverage,6,0.21,1,73.55,2.13,1.72
HDPE Plastic,Dishwash Liquid Bottle,Household,5,0.69,1,50.13,2.13,5.01
Kraft Paper,Snack Packaging,Food & Beverage,10,20.85,9,70.4,2.17,1.18
PP Plastic,Bread Bag,Food & Beverage,7,1.02,3,70.57,1.82,3.33
Cardboard,Cosmetic Packaging Box,Cosmetics,10,28.24,10,79.56,1.45,1.56
PET Plastic,Toilet Cleaner Bottle,Household,8,0.66,2,60.05,3.22,3.88
Aluminum,Cream Jar,Cosmetics,9,2.98,1,93.44,2.02,1.6
Foam,Laptop Packaging Box,Electronics,8,10.6,10,67.12,2.76,1.28
Recycled Plastic,Medicine Bottle,Pharmaceuticals,9,4.12,1,76.87,1.64,3.36
Aluminum,Deodorant Stick,Personal Care,7,0.18,2,93.54,2.88,2.02
PP Plastic,Tea Pouch,Food & Beverage,4,0.21,2,63.97,1.85,4.03
Jute,Paper Carry Bag,Retail,6,8.96,8,64.29,4.99,1.35
Steel,Heavy Crate,Logistics,7,10.15,1,88.94,9.98,6.91
Recycled Plastic,Milk Carton,Food & Beverage,4,1.31,2,86.6,1.4,3.28
Bagasse Fiber,Seedling Tray,Agriculture,4,6.72,8,79.28,2.77,1.05
Recycled Plastic,Lipstick Tube,Cosmetics,8,2.48,3,71.23,2.99,2.27
Recycled Plastic,Conditioner Bottle,Personal Care,7,0.28,1,74.84,1.02,2.44
Aluminum,Conditioner Bottle,Personal Care,10,0.72,3,85.89,2.88,1.99
HDPE Plastic,Sterile Wrap,Healthcare,7,4.44,3,69.45,3.13,5.43
PET Plastic,Hair Oil Bottle,Personal Care,3,0.32,3,70.4,2.94,2.75
Tempered Glass,Perfume Bottle,Cosmetics,6,3.1,2,78.44,5,5.02
PET Plastic,Pallet Wrap,Logistics,9,3.6,3,71.94,2.98,4.77
Cardboard,Pizza Box,Food & Beverage,9,6.14,9,83.02,2.24,1.03
PET Plastic,Hair Oil Bottle,Personal Care,6,0.33,1,71.78,1.6,2.59
PP Plastic,Wet Wipes Pack,Household,9,0.64,1,61.66,1.62,4.81
Recycled Plastic,Phone Box,Electronics,4,18.87,2,80.12,2.5,1.89
Cardboard,Food Container,Food & Beverage,7,37.47,9,86.28,2.37,0.67
Cardboard,Ice Cream Tub,Food & Beverage,7,0.91,10,89.53,2.34,1.49
PET Plastic,Medicine Bottle,Pharmaceuticals,6,2.42,1,71.93,3.18,5.2
PET Plastic,Cream Jar,Cosmetics,9,4.41,2,68.44,3.18,3.05
Bagasse Fiber,Bread Bag,Food & Beverage,5,1.15,8,65.45,3.07,1.1
Bioplastic (PLA),Juice Carton,Food & Beverage,7,12.13,9,74.39,2.25,1
Recycled Plastic,Cereal Box,Food & Beverage,6,0.88,3,71.57,1.35,2.02
HDPE Plastic,Syringe Packaging,Pharmaceuticals,6,11.96,3,50.63,1.55,4.43
Bioplastic (PLA),Pill Blister Pack,Pharmaceuticals,5,8.05,8,73.21,3.31,1.21
Recycled Plastic,Beverage Can,Food & Beverage,6,0.64,3,79.54,2.28,1.58
PP Plastic,Industrial Drum,Chemicals,4,61.62,3,55.67,3.26,3.83
HDPE Plastic,Bubble Wrap,Logistics,5,9.58,3,72.49,2.36,4.53
Glass,Pharma Vial,Pharmaceuticals,7,0.8,1,72.7,4.13,4.77
Jute,Produce Bag,Agriculture,4,2.3,10,63.44,2.03,0.55
Foam,Laptop Packaging Box,Electronics,7,13.6,8,67.27,3.43,1.27
Cardboard,Medical Device Box,Healthcare,10,12.69,10,80.85,1.18,1.54
PP Plastic,Pharma Vial,Pharmaceuticals,8,2.96,2,66.09,3.12,3.28
Kraft Paper,Gift Box,Retail,9,17.6,9,85.35,1.26,0.84
Mushroom Packaging,Pizza Box,Food & Beverage,5,26.39,9,72.98,3.36,0.67
PET Plastic,Medicine Bottle,Pharmaceuticals,7,1.15,2,58.09,3.21,3.03
Recycled Plastic,Tea Pouch,Food & Beverage,10,0.56,1,81.24,2.09,3.42
Bioplastic (PLA),Paper Carry Bag,Retail,6,7.84,8,61.89,3.43,0.81
Mushroom Packaging,Pizza Box,Food & Beverage,6,20.42,8,77.18,2.99,0.77
Bagasse Fiber,Seedling Tray,Agriculture,8,14.92,8,82.31,2.21,0.89
PP Plastic,Chemical Storage Bottle,Chemicals,9,0.44,1,60.66,2.8,3.24
Kraft Paper,Cereal Box,Food & Beverage,9,0.59,7,87.34,1.62,0.62
Recycled Plastic,Produce Bag,Agriculture,7,4.28,2,78.61,1.7,2.2
Recycled Plastic,Seedling Tray,Agriculture,7,15.74,1,87.77,2.89,3.36
Tempered Glass,Perfume Bottle,Cosmetics,4,4.39,2,76.36,3.29,5.23
PP Plastic,Sterile Wrap,Healthcare,10,8.23,1,50.17,2.32,3.89
Bagasse Fiber,Shopping Bag,Retail,5,3.99,8,77.8,3.17,1.08
HDPE Plastic,Syringe Packaging,Pharmaceuticals,6,11.47,3,66.42,2.62,5.17
PET Plastic,Dishwash Liquid Bottle,Household,9,0.94,3,54.81,2.57,4.42
PP Plastic,Garbage Bag,Household,9,26.47,3,69.04,1.51,3.06
Steel,Industrial Drum,Chemicals,7,34.48,1,80.78,6.66,4.9
Cardboard,Egg Carton,Food & Beverage,10,1.59,7,83.81,1.8,1.27
Bioplastic (PLA),Milk Carton,Food & Beverage,4,1.91,10,83.59,3.55,1.31
HDPE Plastic,Medicine Bottle,Pharmaceuticals,7,4.02,2,79.7,3.12,2.93
HDPE Plastic,Medicine Bottle,Pharmaceuticals,8,4.17,2,67.69,2.03,3.52
PET Plastic,Spray Bottle,Cosmetics,4,4.66,1,74.34,1.95,4.65
Bioplastic (PLA),Yogurt Cup,Food & Beverage,6,0.23,9,83.92,2.05,0.7
PP Plastic,Tea Pouch,Food & Beverage,8,0.38,3,67.05,2.17,3.45
HDPE Plastic,Floor Cleaner Bottle,Household,4,2.41,3,51.1,3.42,5.11
PP Plastic,Pharma Vial,Pharmaceuticals,9,1.72,3,57.17,2.18,3.79
Recycled Plastic,Laundry Detergent Box,Household,9,3.63,1,73.97,1.63,2.53
Recycled Plastic,Pill Blister Pack,Pharmaceuticals,3,18.12,1,80.63,2.44,1.73
PET Plastic,Body Lotion Bottle,Personal Care,3,0.71,2,52.82,3.4,4.37
PP Plastic,Ice Cream Tub,Food & Beverage,7,0.42,1,74.46,3.07,4.04
Cardboard,Laundry Detergent Box,Household,3,2,8,83.15,2.5,1.5
Molded Pulp,Component Tray,Electronics,5,24.16,10,69.97,3.14,1.1
Recycled Plastic,Chocolate Wrapper,Food & Beverage,3,0.28,2,75.19,2.81,2.12
Cardboard,Ice Cream Tub,Food & Beverage,4,0.92,9,73.6,1.93,1.51
PP Plastic,Dishwash Liquid Bottle,Household,6,1.06,1,72.33,2.28,4.61
Recycled Plastic,Syringe Packaging,Pharmaceuticals,9,18.09,1,75.2,1.07,2.92
Bioplastic (PLA),Instant Noodle Cup,Food & Beverage,5,0.1,8,68.39,3.99,1.48
PET Plastic,Cream Jar,Cosmetics,10,3.13,3,69.39,1.93,4.69
PET Plastic,Hair Oil Bottle,Personal Care,8,0.4,3,63.44,2.12,4.01
HDPE Plastic,Industrial Drum,Chemicals,4,83.2,3,59.02,1.9,4.85
Bioplastic (PLA),Shopping Bag,Retail,10,8.13,10,80.89,3.03,0.93
Bioplastic (PLA),Shampoo Bottle,Personal Care,7,0.34,8,80.95,2.81,1.23
Aluminum,Spray Bottle,Cosmetics,10,2.75,1,89.72,2.27,1.75
Bioplastic (PLA),Pallet Wrap,Logistics,10,6.92,8,80.66,2.1,1.02
Aluminum,Medicine Bottle,Pharmaceuticals,8,2.71,1,92.44,1.88,2.32
PP Plastic,Bubble Wrap,Logistics,5,4.91,2,54.83,2.81,2.77
Bioplastic (PLA),Cream Jar,Cosmetics,7,0.94,8,79.94,3.29,1.24
Glass,Cream Jar,Cosmetics,9,1.77,2,78.88,3.44,5.85
Cardboard,Food Container,Food & Beverage,8,24.22,9,80.84,2.94,0.6
PET Plastic,Shampoo Bottle,Personal Care,3,0.64,2,79.62,1.8,4.28
Recycled Plastic,Industrial Drum,Chemicals,8,56.18,3,80.87,1.18,2.43
PET Plastic,Pharma Vial,Pharmaceuticals,4,1.38,1,64.8,1.83,2.85
Bioplastic (PLA),Book Packaging Wrap,Retail,5,0.51,8,72.15,2.03,0.37
Aluminum,Water Bottle,Food & Beverage,8,1.2,2,87.46,1.82,1.69
Bioplastic (PLA),Yogurt Cup,Food & Beverage,8,0.24,9,68.23,2.94,0.64
PET Plastic,Water Bottle,Food & Beverage,10,0.45,2,68.45,3.48,2.92
Recycled Plastic,Lipstick Tube,Cosmetics,10,0.19,3,85.16,2.24,3.07
Cardboard,Juice Carton,Food & Beverage,7,23.03,10,86.74,2.09,1.06
Kraft Paper,Earphone Box,Electronics,7,0.16,9,75.93,2.7,1.61
PET Plastic,Blister Pack,Retail,7,25.69,1,63.16,2.43,3.43
HDPE Plastic,Sterile Wrap,Healthcare,5,3.63,2,70.37,3.4,5.25
Cardboard,Deodorant Stick,Personal Care,4,0.18,8,81.29,1.23,2
Recycled Plastic,Bread Bag,Food & Beverage,8,0.53,2,86.11,2,2.29
Bioplastic (PLA),Blister Pack,Retail,5,18.33,10,61.9,3.15,1.14
HDPE Plastic,Toilet Cleaner Bottle,Household,7,0.5,1,79.29,3.06,4.17
PP Plastic,Dishwash Liquid Bottle,Household,7,0.6,1,73.79,2.21,3.59
Glass,Honey Jar,Food & Beverage,6,0.61,1,88.73,5.56,4.24
Corrugated Cardboard,Laptop Packaging Box,Electronics,5,26.76,9,88.1,1.01,0.5
Recycled Plastic,Medical Device Box,Healthcare,7,7.08,2,80.94,2.29,2.16
Glass,Cream Jar,Cosmetics,3,1.78,2,84.59,4.13,3.23
Cardboard,Juice Carton,Food & Beverage,10,25.25,10,79.49,1.01,0.54
Molded Pulp,Egg Carton,Food & Beverage,5,1.65,8,83.55,2.27,0.57
Wood,Heavy Crate,Logistics,9,65.61,8,56.33,6.84,1.5
Aluminum,Chocolate Wrapper,Food & Beverage,9,0.07,2,88.05,2.48,2.15
Recycled Plastic,Cream Jar,Cosmetics,4,4.35,3,79.77,1.23,1.67
Bioplastic (PLA),Floor Cleaner Bottle,Household,3,2.14,8,77.35,3.6,1.36
Aluminum,Heavy Crate,Logistics,7,79.26,3,91.25,2.12,1.89
Bioplastic (PLA),Garbage Bag,Household,10,25.3,9,62.42,2.61,1.11
Recycled Plastic,Hair Oil Bottle,Personal Care,9,0.49,1,82.32,1.38,1.88
HDPE Plastic,Syringe Packaging,Pharmaceuticals,5,13.86,3,68.07,1.54,2.51
PET Plastic,Pill Blister Pack,Pharmaceuticals,10,4.24,2,73.51,2.47,4.65
PET Plastic,Conditioner Bottle,Personal Care,4,0.58,3,53.64,2.73,4.82
Recycled Plastic,Book Packaging Wrap,Retail,3,1.84,3,73.29,1.94,3.41
Aluminum,Pharma Vial,Pharmaceuticals,9,4.27,1,93.79,2.96,1.52
